Total steps: 19682 	 Episode: 20/819 	 Total reward: -21.0
Total steps: 37918 	 Episode: 40/819 	 Total reward: -21.0
Total steps: 56796 	 Episode: 60/1193 	 Total reward: -20.0
Total steps: 76657 	 Episode: 80/818 	 Total reward: -21.0
Total steps: 95967 	 Episode: 100/915 	 Total reward: -20.0
Total steps: 117138 	 Episode: 120/981 	 Total reward: -20.0
Total steps: 140868 	 Episode: 140/1119 	 Total reward: -19.0
Total steps: 162489 	 Episode: 160/1205 	 Total reward: -18.0
Total steps: 184631 	 Episode: 180/1207 	 Total reward: -21.0
Total steps: 207206 	 Episode: 200/941 	 Total reward: -21.0
Total steps: 229918 	 Episode: 220/1196 	 Total reward: -20.0
Total steps: 253569 	 Episode: 240/1287 	 Total reward: -18.0
Total steps: 279762 	 Episode: 260/1503 	 Total reward: -19.0
Total steps: 306607 	 Episode: 280/999 	 Total reward: -21.0
Total steps: 334265 	 Episode: 300/1225 	 Total reward: -19.0
Total steps: 362724 	 Episode: 320/1333 	 Total reward: -21.0
Total steps: 391062 	 Episode: 340/1243 	 Total reward: -19.0
Total steps: 423038 	 Episode: 360/1554 	 Total reward: -17.0
Total steps: 453959 	 Episode: 380/1674 	 Total reward: -17.0
Total steps: 487013 	 Episode: 400/2074 	 Total reward: -15.0
Total steps: 519379 	 Episode: 420/1780 	 Total reward: -18.0
Total steps: 553595 	 Episode: 440/2044 	 Total reward: -16.0
Total steps: 586493 	 Episode: 460/1318 	 Total reward: -20.0
Total steps: 621011 	 Episode: 480/1843 	 Total reward: -15.0
Total steps: 656769 	 Episode: 500/2218 	 Total reward: -16.0
Total steps: 696950 	 Episode: 520/1431 	 Total reward: -17.0
Total steps: 734228 	 Episode: 540/1583 	 Total reward: -18.0
Total steps: 773256 	 Episode: 560/1560 	 Total reward: -17.0
Total steps: 815413 	 Episode: 580/1702 	 Total reward: -17.0
Total steps: 856006 	 Episode: 600/2443 	 Total reward: -15.0
Total steps: 899312 	 Episode: 620/1668 	 Total reward: -17.0
Total steps: 946188 	 Episode: 640/2095 	 Total reward: -14.0
Total steps: 995733 	 Episode: 660/2357 	 Total reward: -13.0
Total steps: 1044943 	 Episode: 680/1646 	 Total reward: -18.0
Total steps: 1101397 	 Episode: 700/2916 	 Total reward: -9.0
Total steps: 1158183 	 Episode: 720/2716 	 Total reward: -9.0
Total steps: 1215518 	 Episode: 740/2681 	 Total reward: -11.0
Total steps: 1277904 	 Episode: 760/3592 	 Total reward: 2.0
Total steps: 1336823 	 Episode: 780/3479 	 Total reward: 4.0
Total steps: 1400461 	 Episode: 800/3211 	 Total reward: -4.0
Total steps: 1464980 	 Episode: 820/3229 	 Total reward: 7.0
Total steps: 1522774 	 Episode: 840/3393 	 Total reward: -2.0
Total steps: 1580604 	 Episode: 860/2972 	 Total reward: 10.0
Total steps: 1636371 	 Episode: 880/3316 	 Total reward: 7.0
Total steps: 1688445 	 Episode: 900/2734 	 Total reward: 12.0
Total steps: 1745914 	 Episode: 920/2721 	 Total reward: 7.0
Total steps: 1796133 	 Episode: 940/2330 	 Total reward: 13.0

